Nennen Sie Ihren Lieblingsprofessor,
Werner,27
Kappes,25
Kovarik,14
Rohlfing,13
Krüger,11
Deninger,10
,
Nennen Sie etwas das Sie mit Münster verbinden,
Fahrräder/Leezen,63
studieren/Studium/Studenten,14
Kneipen,8
Regen,7
Aasee,5
Prof. Münster,3
,
Nennen Sie einen Tanz,
Walzer,44
Discofox,17
Tango,15
Samba,11
Salsa,7
Cha Cha Cha,6
