Bitte eine Frage auswählen!,
Um die Syntax darzustellen,6
"Zu verdeutlichen, wie es aussieht",5
", ← Müssen in Anführungszeichen",4
Es müssen mindestens 6 Antworten,3
eingetragen sein,2
Reihenfolge ist egal,1
,
Nennen Sie einen Physiker!,
Newton,27
Pauli,22
Feynman,18
Pernice,11
Schuck,11
Andronic,11
,
Nennen Sie einen Beruf außer Physiker!,
Lehrer,26
Chemiker,21
Arzt,17
Physiker,14
Mathematiker,12
Maurer,10
,
Nennen Sie eine Maschine!,
Dampfmaschine,21
Ich,21
Stirling-Motor,19
Auto,19
Perpetuum Mobile,10
Computer,10
,
Nennen Sie Ihren Lieblingsbösewicht!,
Joker,44
Team Rocket,18
Thanos,15
Voldemort,12
Prof. Linz,6
Gru,6
,
Nennen Sie einen Praktikumsversuch!,
Franck-Hertz,29
Stirling-Motor,27
Millikan,24
Mini-PET,7
S1,7
Fadenpendel,7
,
Nennen Sie eine Chemikalie!,
Wasser,34
Salzsäure,20
Ethanol,14
Schwefelsäure,13
Brom,11
Wasserstoffperoxid,9
,
Was verbinden Sie mit π?,
Kreis,68
"3,14159…",10
Kuchen,8
Piraten,7
Mathe,5
2πr,3
,
Nennen Sie die schlimmste Programmiersprache!,
Fortran,39
Java,23
Haskell,16
Brainfuck,10
Python,8
C++,5
,
Nennen Sie die beste Programmiersprache!,
Java,32
C++,22
Python,20
Fortran,14
Haskell,7
keine,6
,
Nennen Sie etwas Kompliziertes!,
Frauen,29
Physik,24
Mathematik,20
QISPOS,11
Liebe,9
ART,7
,
Nennen Sie ein Kunstwerk!,
Mona Lisa,43
Square Depression,33
Der Schrei,11
Ich,6
Fallnichs Vorlesungsfolien,5
H.GichT,3
,
Nennen Sie Ihr Lieblingsteilchen!,
Elektron,35
Neutrino,16
Photon,15
Proton,13
Positron,13
Higgs-Boson,9
,
Nennen Sie Ihre Lieblingstheorie!,
Relativitätstheorie,38
Stringtheorie,20
Quantentheorie,15
Big Bang Theory,13
Flat-Earth-Theorie,8
Murphy’s Law,5
,
Nennen Sie eine Einheit!,
Meter,32
Newton,25
Joule,17
Volt,10
Elektronenvolt,8
Lux,7
,
Nennen Sie einen Philosophen!,
Kant,53
Aristoteles,14
Sokrates,13
Platon,10
Marx,6
Lothar Mathäus,4
,
Nennen Sie eine Näherung!,
Taylor-Entwicklung,38
Kleinwinkelnäherung,22
π ≈ 3,17
Bohrsches Atommodell,9
Punktmasse,8
Born-Oppenheimer-Näherung,7
,
Nennen Sie einen Bundesminister!,
Horst Seehofer,28
Ursula von der Leyen,27
Jens Spahn,19
Olaf Scholz,11
Heiko Maas,9
Angela Merkel,7
,
Nennen Sie eine Geschwindigkeit!,
c,66
Schallgeschwindigkeit,12
Mopsgeschwindigkeit,7
Warpgeschwindigkeit,6
v,4
km/h,4
