

----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 | false Um die syntax darzustellen 6 | false Zu verdeutlichen, wie es aussieht 5 | false , - Müssen in Anführungszeichen 4 | false Es müssen mindestens 6 Antworten 3 | false eingetragen sein 2 | false Sortiert von Hoch zu Tief 1
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | false Sonne 22 | false Isotope 18 | false Lampe 4 | false Augen 3 | false Uran 0
|a: 0 |b: 0| CurrentScore: 22 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | true Sonne 22 | false Isotope 18 | false Lampe 4 | false Augen 3 | false Uran 0
|a: 0 |b: 0| CurrentScore: 25 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | true Sonne 22 | false Isotope 18 | false Lampe 4 | true Augen 3 | false Uran 0

----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----
|a: 0 |b: 0| CurrentScore: 81 | CurrentTeam: 2 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 0 |b: 0| CurrentScore: 81 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 0| CurrentScore: 81 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 0| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 0| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 0| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 81| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 81| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 81| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 81| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 81| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 162| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 162| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 162| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 162| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 162| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 243| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 243| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 243| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 243| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 243| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 324| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 324| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 324| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 324| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 324| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 405| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 405| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 
|a: 81 |b: 405| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ihr Lieblingsanion | true Chlorid 45 |  | true Hydroxid 26 |  | true Natrium 10 |  | false Oxid 0 |  | false Sulfat 0 |  | false Kartoffel 0 | 

----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: -1 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 2 | CurrentLives: 0 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 2 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 2 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 |  | false Zu verdeutlichen, wie es aussieht 5 |  | false , - Müssen in Anführungszeichen 4 |  | false Es müssen mindestens 6 Antworten 3 |  | false eingetragen sein 2 |  | false Sortiert von Hoch zu Tief 1 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ein Hilfsmittel für Physiker | false Buch 14 |  | false Taschenrechner 12 |  | false Bleistift 11 |  | false Internet 9 |  | false Computer 9 |  | false Drogen 7 | 
|a: 0 |b: 0| CurrentScore: 12 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ein Hilfsmittel für Physiker | false Buch 14 |  | true Taschenrechner 12 |  | false Bleistift 11 |  | false Internet 9 |  | false Computer 9 |  | false Drogen 7 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ein Hilfsmittel für Physiker | false Buch 14 |  | false Taschenrechner 12 |  | false Bleistift 11 |  | false Internet 9 |  | false Computer 9 |  | false Drogen 7 | 
